NGAY;BO_SO;SO1;SO2;SO3;SO4;SO5;SO6
24/12/2023;01 02 05 24 40 43;1;2;5;24;40;43
22/12/2023;02 12 14 16 34 38;2;12;14;16;34;38
20/12/2023;05 15 16 21 22 32;5;15;16;21;22;32
17/12/2023;03 07 18 20 31 33;3;7;18;20;31;33
15/12/2023;01 05 10 11 20 40;1;5;10;11;20;40
13/12/2023;03 07 11 20 28 44;3;7;11;20;28;44
10/12/2023;09 10 11 17 41 44;9;10;11;17;41;44
08/12/2023;11 15 16 17 42 43;11;15;16;17;42;43
06/12/2023;18 19 20 29 41 42;18;19;20;29;41;42
03/12/2023;12 14 16 21 29 32;12;14;16;21;29;32
01/12/2023;05 10 14 21 27 32;5;10;14;21;27;32
29/11/2023;09 22 24 32 38 39;9;22;24;32;38;39
26/11/2023;04 06 15 23 25 36;4;6;15;23;25;36
24/11/2023;05 18 22 34 41 45;5;18;22;34;41;45
22/11/2023;15 18 20 23 37 39;15;18;20;23;37;39
19/11/2023;01 03 19 20 26 34;1;3;19;20;26;34
17/11/2023;16 20 25 26 36 41;16;20;25;26;36;41
15/11/2023;02 03 12 16 30 37;2;3;12;16;30;37
12/11/2023;02 04 10 15 27 31;2;4;10;15;27;31
10/11/2023;01 04 10 13 14 44;1;4;10;13;14;44
08/11/2023;07 20 23 27 31 33;7;20;23;27;31;33
05/11/2023;01 13 16 18 23 25;1;13;16;18;23;25
03/11/2023;02 07 09 13 22 38;2;7;9;13;22;38
01/11/2023;01 03 15 16 23 28;1;3;15;16;23;28
29/10/2023;05 07 15 21 32 45;5;7;15;21;32;45
27/10/2023;07 10 14 21 26 37;7;10;14;21;26;37
25/10/2023;04 06 13 25 31 41;4;6;13;25;31;41
22/10/2023;10 13 14 19 35 40;10;13;14;19;35;40
20/10/2023;04 16 21 24 26 37;4;16;21;24;26;37
18/10/2023;02 07 18 20 24 29;2;7;18;20;24;29
15/10/2023;04 05 09 27 34 39;4;5;9;27;34;39
